origA,origB,origC,defA,defB,defC,ssA,ssB,ssC,disp
15.9501,9.23165,10,15.9543,9.22718,10,14.7231,12.7825,20,0.0297199
-1.22689,0.709978,10,-1.23394,0.717405,10,14.7231,12.7825,20,0.0491895
-1.22689,4.97072,10,-1.25293,4.97297,10,14.7231,12.7825,20,0.125542
-1.22689,9.23165,10,-1.23154,9.227,10,14.7231,12.7825,20,0.0315797
15.95,3.55083,9.99999,15.963,3.55413,10,14.7231,12.7825,20,0.0644486
15.95,7.81176,9.99999,15.957,7.80371,10,14.7231,12.7825,20,0.0511806
15.95,12.0725,9.99999,15.9554,12.0772,10,14.7231,12.7825,20,0.0343953
-1.22696,3.55083,9.99999,-1.23919,3.55403,10,14.7231,12.7825,20,0.0607346
-1.22696,7.81176,9.99999,-1.23474,7.80353,10,14.7231,12.7825,20,0.0544053
-1.22696,12.0725,9.99999,-1.23225,12.077,10,14.7231,12.7825,20,0.0333721
14.7231,1.42052,9.99999,14.7232,1.42794,10,14.7231,12.7825,20,0.0356696
14.7231,5.68126,9.99999,14.7232,5.67527,10,14.7231,12.7825,20,0.0288009
14.7231,9.94211,9.99999,14.723,9.93724,10,14.7231,12.7825,20,0.0233834
-2.45388,1.42052,9.99999,-2.46396,1.4306,10,14.7231,12.7825,20,0.0684682
-2.45388,5.68126,9.99999,-2.50693,5.67749,10,14.7231,12.7825,20,0.255491
-2.45388,9.94211,9.99999,-2.45951,9.93936,10,14.7231,12.7825,20,0.0300984
14.7231,2.8404,10,14.7234,2.84868,10,14.7231,12.7825,20,0.0397517
14.7231,7.10126,10,14.7228,7.09483,10,14.7231,12.7825,20,0.0309195
14.7231,11.362,10,14.7231,11.3638,10,14.7231,12.7825,20,0.00887287
-2.45382,2.8404,10,-2.47233,2.85033,10,14.7231,12.7825,20,0.100888
-2.45382,7.10126,10,-2.47176,7.09353,10,14.7231,12.7825,20,0.0938383
-2.45382,11.362,10,-2.459,11.3616,10,14.7231,12.7825,20,0.0249549
1.22696,13.4925,10,1.23422,13.5002,10,14.7231,12.7825,20,0.0506788
3.68081,13.4925,10,3.68653,13.4983,10,14.7231,12.7825,20,0.0390035
6.13466,13.4925,10,6.12895,13.47,10,14.7231,12.7825,20,0.111332
8.58851,13.4925,10,8.59423,13.4696,10,14.7231,12.7825,20,0.113466
11.0424,13.4925,10,11.0376,13.4963,10,14.7231,12.7825,20,0.0291563
13.4962,13.4925,10,13.4892,13.4999,10,14.7231,12.7825,20,0.0491895
1.22689,-0.710014,9.99999,1.23228,-0.705299,10,14.7231,12.7825,20,0.0343953
3.68074,-0.710014,9.99999,3.68229,-0.702112,10,14.7231,12.7825,20,0.0386764
6.13459,-0.710015,9.99999,6.13092,-0.718854,10,14.7231,12.7825,20,0.0459887
8.58844,-0.710016,9.99999,8.59213,-0.719225,10,14.7231,12.7825,20,0.0476518
11.0423,-0.710016,9.99999,11.0408,-0.703758,10,14.7231,12.7825,20,0.0309453
13.4961,-0.710016,9.99999,13.4908,-0.705519,10,14.7231,12.7825,20,0.0333721
0,14.203,9.99999,0.00011261,14.2105,10,14.7231,12.7825,20,0.0356696
2.45382,14.203,9.99999,2.46444,14.2138,10,14.7231,12.7825,20,0.0727218
4.90767,14.203,9.99999,4.91757,14.1997,10,14.7231,12.7825,20,0.0502537
7.36152,14.203,9.99999,7.36148,14.1599,10,14.7231,12.7825,20,0.207036
9.81537,14.203,9.99999,9.80695,14.1969,10,14.7231,12.7825,20,0.0499976
12.2692,14.203,9.99999,12.2591,14.2131,10,14.7231,12.7825,20,0.0684682
3.15222e-05,-1.42052,10,7.93665e-06,-1.41867,10,14.7231,12.7825,20,0.00887287
2.45388,-1.42052,10,2.45905,-1.4201,10,14.7231,12.7825,20,0.0248999
4.90773,-1.42052,10,4.90152,-1.41714,10,14.7231,12.7825,20,0.0339835
7.36158,-1.42052,10,7.36158,-1.41699,10,14.7231,12.7825,20,0.0169798
9.81543,-1.42052,10,9.821,-1.41874,10,14.7231,12.7825,20,0.0280895
12.2693,-1.42052,10,12.2641,-1.42092,10,14.7231,12.7825,20,0.0249549
15.9501,13.4925,10,15.9573,13.5002,10,14.7231,12.7825,20,0.0506788
-1.22689,13.4925,10,-1.23394,13.4999,10,14.7231,12.7825,20,0.0491895
15.95,-0.710014,9.99999,15.9554,-0.705299,10,14.7231,12.7825,20,0.0343953
-1.22696,-0.710016,9.99999,-1.23225,-0.705519,10,14.7231,12.7825,20,0.0333721
14.7231,14.203,9.99999,14.7232,14.2105,10,14.7231,12.7825,20,0.0356696
14.7231,-1.42052,10,14.7231,-1.41867,10,14.7231,12.7825,20,0.00887287
